E1-01,HEADLIGHT LH ,Generic,n/a,https://www.amazon.com/ceramic-right-connector-socket-H4-2A/dp/B07645B7J5/ref=sr_1_15?dchild=1&keywords=hella+h4+3+position+connector&qid=1618341888&sr=8-15
E1-02,HEADLIGHT RH ,Generic,n/a,https://www.amazon.com/ceramic-right-connector-socket-H4-2A/dp/B07645B7J5/ref=sr_1_15?dchild=1&keywords=hella+h4+3+position+connector&qid=1618341888&sr=8-15
A-03,ALTERNATOR,Yazaki,7223-6224-40,https://www.corsa-technic.com/item.php?item_id=1125&category_id=125
B1-03,IGNITER,Sumitomo,6195-0038,https://www.corsa-technic.com/item.php?item_id=633&category_id=147
B1-19,OXYGEN SENSOR (F),Tyco/AMP, 174879-2,https://www.corsa-technic.com/item.php?item_id=1046&category_id=124
B1-21,NEUTRAL SWITCH,"Sumitomo, Yazaki", 7123-2115-30,https://www.corsa-technic.com/item.php?item_id=836&category_id=124
B1-10,CRANK ANGLE SENSOR,Sumitomo,6195-0030,https://www.corsa-technic.com/item.php?item_id=444&category_id=147
B1-12,IGNITION COIL,Sumitomo, 6195-0012,https://www.corsa-technic.com/item.php?item_id=675&category_id=147
C-02,WATER TERMOSENSOR (INJ),Tyco/AMP,172320-2,https://www.corsa-technic.com/item.php?item_id=1325&category_id=124
C-03,OIL PRESSURE SENSOR (E),Tyco/AMP,172320-2,https://www.corsa-technic.com/item.php?item_id=1325&category_id=124
E1-04,RETRACTABLE HEADLIGHT ACTUATOR LH,Tyco/AMP, 881778-1,https://www.aliexpress.com/item/33029140041.html
E1-05,RETRACTABLE HEADLIGHT ACTUATOR RH,Tyco/AMP, 881778-1,https://www.aliexpress.com/item/33029140041.html
A-01,STARTER SOLENOID,Tyco/AMP,172320-2,https://www.corsa-technic.com/item.php?item_id=1325&category_id=124
B1-17,WATER THERMOSENSOR (INJ),Bosch?,UNKNOWN,https://www.wiringspecialties.com/cacoteco.html
E1-11,,,,
C-05,PARKING BRAKE SWITCH (I),Tyco/AMP,172320-2,https://www.corsa-technic.com/item.php?item_id=1325&category_id=124
D-02,WINDSHEILD WIPER MOTOR (F),"Sumitomo, Yazaki",7123-2249-30,https://www.corsa-technic.com/item.php?item_id=363&category_id=127
A-02,,,,
A-04,,,,
B1-01,,,,
B1-11,,,,
B1-13,,,,
B1-15,,,,
B1-18,,,,
B1-20,,,,
B2-01,,,,
B2-02,,,,
B3-01,,,,
B3-03,,,,
C-01,,,,
C-04,,,,
C-06,,,,
D-01,,,,
D-03,,,,
D-04,,,,
E1-06,,,,
E1-09,,,,
E2-10,,,,
E3-01,,,,
E3-02,,,,
E3-03,,,,
E3-04,,,,
E4-01,,,,
E4-02,,,,
E4-07,,,,
E4-08,,,,
E4-09,,,,
F-01,,,,
F-02,,,,
B1-16,AIRFLOW METER,Tyco/AMP,282194-1,https://www.corsa-technic.com/item.php?item_id=1333&category_id=177
F-03,,,,
G-01,,,,
H-01,,,,
H-06,,,,
I1-03,,,,
I2-05,,,,
I2-10,,,,
B1-07,INJECTOR NO. 2,Sumitomo,6195-0043,https://www.corsa-technic.com/item.php?item_id=699
